,URLS
0,https://corporate.walmart.com/purpose/culture-diversity-equity-inclusion
1,https://www.aboutamazon.com/workplace/diversity-inclusion
2,https://www.apple.com/diversity/
3,https://www.cvshealth.com/about/our-strategy/diversity.html
4,https://careers.unitedhealthgroup.com/culture/inclusion-and-diversity/
5,https://corporate.exxonmobil.com/locations/brazil/inclusion-and-diversity
6,https://www.brkenergy.com/about-us/careers/diversity-equity-inclusion
7,https://www.globaldata.com/data-insights/technology-media-and-telecom/alphabet-workforce-diversity-and-inclusion-2091198/
8,https://www.mckesson.com/About-McKesson/Impact/Inclusion-and-Diversity/
9,https://www.amerisourcebergen.com/diversity-equity-and-inclusion
10,https://www.costco.com/inclusion.html
11,https://www.cigna.com/about-us/corporate-responsibility/diversity-and-inclusion/
12,https://about.att.com/pages/diversity
13,https://www.microsoft.com/en-us/diversity/default.aspx
14,https://www.cardinalhealth.com/en/about-us/our-people/diversity-and-inclusion.html
15,https://www.chevron.com/sustainability/social/diversity-inclusion
16,https://corporate.homedepot.com/page/diversity-equity-inclusion
17,https://www.walgreensbootsalliance.com/about-us/diversity-equity-and-inclusion
18,https://www.marathonpetroleum.com/Sustainability/Diversity-Equity-and-Inclusion/
19,https://www.elevancehealth.com/who-we-are/diversity-equity-and-inclusion
20,https://www.thekrogerco.com/community/standing-together/
21,https://corporate.ford.com/careers/inclusive-hiring/diversity.html
22,https://www.verizon.com/about/our-company/diversity-and-inclusion
23,https://www.jpmorganchase.com/about/people-culture/diversity-and-inclusion
24,https://www.gmsustainability.com/priorities/developing-talented-people/diversity-equity-and-inclusion.html
25,https://www.centene.com/who-we-are/diversity-equity-and-inclusion.html
26,https://about.fb.com/news/2022/07/metas-diversity-report-2022/
27,https://corporate.comcast.com/impact/diversity-equity-inclusion
28,https://phillips66.jobs/inclusion-diversity/
29,https://www.valero.com/careers/working-valero/diversity-inclusion
30,https://jobs.dell.com/diversity-and-inclusion
31,https://corporate.target.com/sustainability-esg/diversity-equity-inclusion
32,https://www.fanniemae.com/about-us/who-we-are/diversity-and-inclusion
33,https://about.ups.com/us/en/social-impact/diversity-equity-and-inclusion.html
34,https://talent.lowes.com/us/en/diversity-inclusion
35,https://about.bankofamerica.com/en/working-here/diversity-inclusion
36,https://www.jnj.com/about-jnj/diversity
37,https://www.adm.com/en-us/culture-and-careers/diversity-equity-inclusion/
38,https://www.fedex.com/en-us/about/diversity-inclusion.html
39,https://www.humana.com/about/impact/individual/inclusion-diversity
40,https://www.wellsfargo.com/about/diversity/diversity-and-inclusion/
41,https://www.statefarm.com/about-us/diversity-inclusion
42,https://www.pfizer.com/about/responsibility/diversity-and-inclusion
43,https://www.citigroup.com/global/our-impact/diversity-equity-inclusion
44,https://pepsico.com/our-impact/diversity-equity-and-inclusion
45,https://www.intel.com/content/www/us/en/diversity/diversity-at-intel.html
46,https://us.pg.com/equality-and-inclusion/
47,https://www.ge.com/about-us/diversity
48,https://www.ibm.com/impact/be-equal/
49,https://www.metlife.com/about-us/global-diversity-equity-inclusion/
50,https://www.prudential.com/links/about/diversity-inclusion
51,https://www.albertsonscompanies.com/our-impact/people/diversity-equity-inclusion/default.aspx
52,https://impact.disney.com/diversity-inclusion/
53,https://www.energytransfer.com/corporate-responsibility/
54,https://www.lockheedmartin.com/en-us/who-we-are/global-diversity-inclusion.html
55,https://www.freddiemac.com/about/diversity
56,https://www.goldmansachs.com/our-commitments/diversity-and-inclusion/
57,https://www.rtx.com/our-responsibility/diversity-equity-inclusion
58,https://www.hp.com/us-en/hp-information/about-hp/diversity.html
59,https://www.boeing.com/principles/diversity-and-inclusion/index.page
60,https://www.morganstanley.com/about-us/diversity
61,https://hcahealthcare.com/about/diversity-equity-and-inclusion/
62,https://www.abbvie.com/who-we-are/equity-equality-inclusion-diversity.html
63,https://corporate.dow.com/en-us/about/company/beliefs-and-culture/inclusion-and-diversity.html
64,https://www.tesla.com/sites/default/files/downloads/2020-DEI-impact-report.pdf
65,https://www.allstatecorporation.com/corporate-responsibility/inclusive-diversity-equity.aspx
66,https://www.aig.com/home/about/corporate-responsibility/diversity-equity-and-inclusion
67,https://corporate.bestbuy.com/diversity-and-inclusion/
68,https://corporate.charter.com/diversity-inclusion
69,https://www.sysco.com/About/Our-People/Diversity-and-Inclusion.html
70,https://www.merck.com/company-overview/diversity-and-inclusion/
71,https://www.newyorklife.com/careers/our-culture/diversity-and-inclusion
72,https://www.caterpillar.com/en/careers/why-caterpillar/diversity-inclusion.html
73,https://www.cisco.com/c/en/us/about/inclusion-diversity.html
74,https://www.tjx.com/responsibility/workplace/inclusion-and-diversity
75,https://corporate.publix.com/about-publix/culture/committed-to-diversity
76,https://careers.conocophillips.com/working-here/diversity-equity-inclusion/
77,https://www.libertymutualgroup.com/about-lm/corporate-information/diversity-equity-inclusion/our-commitment
78,https://www.progressive.com/about/diversity-and-inclusion/
79,https://www.nationwide.com/personal/about-us/diversity-equity-inclusion/
80,https://www.tysonfoods.com/who-we-are/our-people/inclusion-diversity
81,https://www.bms.com/about-us/global-diversity-and-inclusion.html
82,https://about.nike.com/en/impact/focus-areas/diversity-equity-inclusion
83,https://www.deere.com/en/our-company/john-deere-careers/benefits/diversity/
84,https://www.americanexpress.com/us/company/global-diversity-and-inclusion.html
85,https://www.abbott.com/careers/diversity-and-inclusion.html
86,https://www.stonex.com/featured-insights/webinarsvideos/perspectives-on-social-impact-diversity--inclusion/
87,https://www.plains.com/sustainability/our-people
88,https://www.enterpriseproducts.com/careers/diversity-inclusion/
89,https://www.tiaa.org/public/about-tiaa/diversity-inclusion
90,https://www.oracle.com/careers/diversity-inclusion/best-practices/
91,https://corporate.thermofisher.com/content/tfcorpsite/us/en/index/corporate-social-responsibility/colleagues/diversity-and-inclusion.html
92,https://www.coca-colacompany.com/social-impact/diversity-and-inclusion
93,https://www.gd.com/careers/diversity
94,https://jobs.chsinc.com/inclusion-diversity
95,https://www.usaajobs.com/diversity
96,https://www.northwesternmutual.com/our-commitment-to-diversity/
97,https://www.comparably.com/companies/nucor-corporation/diversity
98,https://www.exeloncorp.com/diversity-equity-inclusion
99,https://www.massmutual.com/sustainability/diversity-equity-and-inclusion
100,https://www.northropgrumman.com/esg/diversity-equity-and-inclusion/
101,https://www.3m.com/3M/en_US/sustainability-us/social/diversity-equity-and-inclusion/
102,https://www.travelers.com/about-travelers/diversity
103,https://careers.arrow.com/us/en/diversity-equality-and-inclusion
104,https://www.honeywell.com/us/en/company/inclusion-and-diversity
105,https://careers.dollargeneral.com/diversity-inclusion/
106,https://www.qualcomm.com/company/corporate-responsibility/our-people/diversity-equity-and-inclusion
107,https://www.capitalone.com/about/diversity
108,https://www.synnexcorp.com/careers/diversity-equity-inclusion/
109,https://www.pmi.com/inclusion-diversity
110,https://www.wfscorp.com/Careers/Diversity-Equity-and-Inclusion
111,https://investors.pfgc.com/press-releases/press-release-details/2021/Performance-Food-Group-Company-Announces-Addition-of-Vice-President-of-Diversity--Inclusion/default.aspx
112,https://www.delta.com/us/en/about-delta/diversity
113,https://www.aa.com/i18n/customer-service/about-us/diversity/inclusion-and-diversity.jsp
114,https://jobs.netflix.com/inclusion
115,https://www.paramount.com/inclusion-2021/introduction
116,https://www.usfoods.com/about-us-foods/diversity-and-inclusion.html
117,https://www.danaher.com/who-we-are/diversity-inclusion
