,Company Names
0,['Walmart']
1,['Amazon']
2,['Apple']
3,['CVS Health']
4,['UnitedHealth Group']
5,['Exxon Mobil']
6,['Berkshire Hathaway']
7,['Alphabet']
8,['McKesson']
9,['AmerisourceBergen']
10,['Costco Wholesale']
11,['Cigna']
12,['AT&T']
13,['Microsoft']
14,['Cardinal Health']
15,['Chevron']
16,['Home Depot']
17,['Walgreens Boots Alliance']
18,['Marathon Petroleum']
19,['Elevance Health']
20,['Kroger']
21,['Ford Motor']
22,['Verizon Communications']
23,['JPMorgan Chase']
24,['General Motors']
25,['Centene']
26,['Meta Platforms']
27,['Comcast']
28,['Phillips 66']
29,['Valero Energy']
30,['Dell Technologies']
31,['Target']
32,['Fannie Mae']
33,['United Parcel Service']
34,"[""Lowe's""]"
35,['Bank of America']
36,['Johnson & Johnson']
37,['Archer Daniels Midland']
38,['FedEx']
39,['Humana']
40,['Wells Fargo']
41,['State Farm Insurance']
42,['Pfizer']
43,['Citigroup']
44,['PepsiCo']
45,['Intel']
46,['Procter & Gamble']
47,['General Electric']
48,['International Business Machines']
49,['MetLife']
50,['Prudential Financial']
51,['Albertsons']
52,['Walt Disney']
53,['Energy Transfer']
54,['Lockheed Martin']
55,['Freddie Mac']
56,['Goldman Sachs Group']
57,['Raytheon Technologies']
58,['HP']
59,['Boeing']
60,['Morgan Stanley']
61,['HCA Healthcare']
62,['AbbVie']
63,['Dow']
64,['Tesla']
65,['Allstate']
66,['American International Group']
67,['Best Buy']
68,['Charter Communications']
69,['Sysco']
70,['Merck']
71,['New York Life Insurance']
72,['Caterpillar']
73,['Cisco Systems']
74,['TJX']
75,['Publix Super Markets']
76,['ConocoPhillips']
77,['Liberty Mutual Insurance Group']
78,['Progressive']
79,['Nationwide']
80,['Tyson Foods']
81,['Bristol-Myers Squibb']
82,['Nike']
83,['Deere']
84,['American Express']
85,['Abbott Laboratories']
86,['StoneX Group']
87,['Plains GP Holdings']
88,['Enterprise Products Partners']
89,['TIAA']
90,['Oracle']
91,['Thermo Fisher Scientific']
92,['Coca-Cola']
93,['General Dynamics']
94,['CHS']
95,['USAA']
96,['Northwestern Mutual']
97,['Nucor']
98,['Exelon']
99,['Massachusetts Mutual Life Insurance']
100,['Northrop Grumman']
101,['3M']
102,['Travelers']
103,['Arrow Electronics']
104,['Honeywell International']
105,['Dollar General']
106,['Qualcomm']
107,['Capital One Financial']
108,['TD Synnex']
109,['Philip Morris International']
110,['World Fuel Services']
111,['Performance Food Group']
112,['Delta Air Lines']
113,['American Airlines Group']
114,['Netflix']
115,['Paramount Global']
116,['US Foods Holding']
117,['Danaher']
118,['Jabil']
119,['Starbucks']
120,['Mondelez International']
121,['Eli Lilly']
122,['Hewlett Packard Enterprise']
123,['D.R. Horton']
124,['Molina Healthcare']
125,['CBRE Group']
126,['Micron Technology']
127,['Broadcom']
128,['Gilead Sciences']
129,['PBF Energy']
130,['Lennar']
131,['United Natural Foods']
132,['NRG Energy']
133,['Nvidia']
134,['Occidental Petroleum']
135,['Salesforce']
136,['Dollar Tree']
137,['KKR']
138,['Kraft Heinz']
139,['Amgen']
140,['AutoNation']
141,['Penske Automotive Group']
142,['PayPal Holdings']
143,"[""Macy's""]"
144,['Duke Energy']
145,['United Airlines Holdings']
146,['Visa']
147,['Rite Aid']
148,['Cummins']
149,['U.S. Bancorp']
150,['Paccar']
151,"[""McDonald's""]"
152,['Southern']
153,['C.H. Robinson Worldwide']
154,['Truist Financial']
155,['Applied Materials']
156,['Freeport-McMoRan']
157,['Lithia Motors']
158,['Blackstone']
159,['Hartford Financial Services Group']
160,['Aflac']
161,['Whirlpool']
162,['Union Pacific']
163,['International Paper']
164,['Altria Group']
165,['CDW']
166,['ManpowerGroup']
167,['PG&E']
168,['Carrier Global']
169,['Baker Hughes']
170,['Cleveland-Cliffs']
171,['United States Steel']
172,['Becton Dickinson']
173,['CarMax']
174,['Sherwin-Williams']
175,['Builders FirstSource']
176,['Marsh & McLennan']
177,['PNC Financial Services Group']
178,['Lumen Technologies']
179,['Avnet']
180,['Tenet Healthcare']
181,['Kimberly-Clark']
182,"[""Kohl's""]"
183,['BlackRock']
184,['Jones Lang LaSalle']
185,['Lear']
186,['Lincoln National']
187,['Charles Schwab']
188,['Ross Stores']
189,['Mastercard']
190,['Genuine Parts']
191,['WestRock']
192,['EOG Resources']
193,['Cognizant Technology Solutions']
194,['Moderna']
195,['Steel Dynamics']
196,['HF Sinclair']
197,['Texas Instruments']
198,['Emerson Electric']
199,['WESCO International']
200,['General Mills']
201,['Tenneco']
202,['Waste Management']
203,['Viatris']
204,['DISH Network']
205,['L3Harris Technologies']
206,['DXC Technology']
207,['Block']
208,['Goodyear Tire & Rubber']
209,['Uber Technologies']
210,['Colgate-Palmolive']
211,['Stanley Black & Decker']
212,['DuPont']
213,['Stryker']
214,['NextEra Energy']
215,['Targa Resources']
216,['Western Digital']
217,['PPG Industries']
218,['American Electric Power']
219,['Gap']
220,"[""BJ's Wholesale Club""]"
221,['Reinsurance Group of America']
222,['Kinder Morgan']
223,['Oneok']
224,['Expeditors Intl. of Washington']
225,['Advanced Micro Devices']
226,['Fiserv']
227,['Estée Lauder']
228,['Bank of New York Mellon']
229,['Laboratory Corp. of America']
230,['Regeneron Pharmaceuticals']
231,"[""Land O'Lakes""]"
232,['Cheniere Energy']
233,['Southwest Airlines']
234,['Adobe']
235,['Synchrony Financial']
236,['Corteva']
237,['Fidelity National Financial']
238,['DTE Energy']
239,['Murphy USA']
240,['Halliburton']
241,['Automatic Data Processing']
242,['Edison International']
243,['BorgWarner']
244,['Nordstrom']
245,['Loews']
246,['Guardian Life Ins. Co. of America']
247,['Pioneer Natural Resources']
248,['AutoZone']
249,['Lam Research']
250,['American Family Insurance Group']
251,['Illinois Tool Works']
252,['Parker-Hannifin']
253,['Otis Worldwide']
254,['Omnicom Group']
255,['Principal Financial']
256,['Dominion Energy']
257,['Kellogg']
258,['Fluor']
259,['AECOM']
260,['Reliance Steel & Aluminum']
261,['Jacobs Engineering Group']
262,['Corning']
263,['Farmers Insurance Exchange']
264,['Qurate Retail']
265,['Pacific Life']
266,['PulteGroup']
267,['Fidelity National Information Services']
268,['IQVIA Holdings']
269,['Marriott International']
270,['Berry Global Group']
271,['Ball']
272,['Group 1 Automotive']
273,['Leidos Holdings']
274,['Wayfair']
275,['Consolidated Edison']
276,['Ameriprise Financial']
277,['Xcel Energy']
278,"[""O'Reilly Automotive""]"
279,['Global Partners']
280,['Discover Financial Services']
281,['Rocket Companies']
282,['LKQ']
283,['W.W. Grainger']
284,['Quanta Services']
285,['Crown Holdings']
286,['Fox']
287,['Sempra']
288,['Markel']
289,['Carvana']
290,['XPO Logistics']
291,['Baxter International']
292,['Ecolab']
293,['Tractor Supply']
294,['Andersons']
295,['Keurig Dr Pepper']
296,['Universal Health Services']
297,['CSX']
298,['Henry Schein']
299,['Sonic Automotive']
300,['eBay']
301,['Textron']
302,['Jones Financial (Edward Jones)']
303,['Community Health Systems']
304,['Mosaic']
305,['Thor Industries']
306,"[""Dick's Sporting Goods""]"
307,['Newmont']
308,['Devon Energy']
309,['Warner Bros. Discovery']
310,['J.B. Hunt Transport Services']
311,['Alcoa']
312,"[""Peter Kiewit Sons'""]"
313,['Aramark']
314,['Vistra']
315,['State Street']
316,['Unum Group']
317,['Alleghany']
318,['Boston Scientific']
319,['Westlake']
320,['Entergy']
321,['International Flavors & Fragrances']
322,['DaVita']
323,['Mutual of Omaha Insurance']
324,['Assurant']
325,['Liberty Media']
326,['Hormel Foods']
327,['Icahn Enterprises']
328,['Republic Services']
329,['Mohawk Industries']
330,['Conagra Brands']
331,['Norfolk Southern']
332,['AES']
333,['AGCO']
334,['Caesars Entertainment']
335,['Equitable Holdings']
336,['Advance Auto Parts']
337,['Biogen']
338,['Auto-Owners Insurance']
339,['Booking Holdings']
340,['Amphenol']
341,['Quest Diagnostics']
342,['FirstEnergy']
343,['DCP Midstream']
344,['Ally Financial']
345,['Delek US Holdings']
346,['Williams']
347,['Newell Brands']
348,['Eastman Chemical']
349,['Air Products & Chemicals']
350,['Thrivent Financial for Lutherans']
351,['Molson Coors Beverage']
352,['Interpublic Group']
353,['Weyerhaeuser']
354,['Altice USA']
355,['Raymond James Financial']
356,['EMCOR Group']
357,['Eversource Energy']
358,['Yum China Holdings']
359,['Asbury Automotive Group']
360,['Owens & Minor']
361,['Public Service Enterprise Group']
362,['United Rentals']
363,['MGM Resorts International']
364,['Ryder System']
365,['Intuit']
366,['Cincinnati Financial']
367,['Erie Insurance Group']
368,['Univar Solutions']
369,['Huntington Ingalls Industries']
370,['W.R. Berkley']
371,['Western & Southern Financial Group']
372,['Insight Enterprises']
373,['News Corp.']
374,['American Tower']
375,['Old Republic International']
376,['Burlington Stores']
377,['Avis Budget Group']
378,['ODP']
379,['VF']
380,['Bed Bath & Beyond']
381,['Seaboard']
382,['First American Financial']
383,['Intercontinental Exchange']
384,['PVH']
385,['Apollo Global Management']
386,['Jefferies Financial Group']
387,['Hershey']
388,['NVR']
389,['Foot Locker']
390,['Dana']
391,['SpartanNash']
392,['Olin']
393,['Chewy']
394,['Jackson Financial']
395,['Activision Blizzard']
396,['Toll Brothers']
397,['Carlyle Group']
